match_id,market_key,selection,line,probability
4171,exact_score,8-1,,0.00029487409658696156
4171,exact_score,8-2,,0.00016919470518545813
4171,exact_score,8-3,,6.472106478468226e-05
4171,exact_score,8-4,,1.8568028867710064e-05
4171,exact_score,8-5,,4.261631939203971e-06
4171,exact_score,8-6,,8.150886179427476e-07
4171,exact_score,8-7,,1.3362475715091213e-07
4171,exact_score,8-8,,1.916801242743231e-08
4171,exact_score,8-9,,2.444076038017108e-09
4171,exact_score,8-10,,2.8047545002393534e-10
4171,exact_score,8-11,,2.926053811244671e-11
4171,exact_score,8-12,,2.798215790403312e-12
4171,exact_score,9-0,,5.653743789792913e-05
4171,exact_score,9-1,,6.488081013423436e-05
4171,exact_score,9-2,,3.722771742216457e-05
4171,exact_score,9-3,,1.4240501843274238e-05
4171,exact_score,9-4,,4.085502149822094e-06
4171,exact_score,9-5,,9.376820002496881e-07
4171,exact_score,9-6,,1.7934301613951006e-07
4171,exact_score,9-7,,2.9401302448364506e-08
4171,exact_score,9-8,,4.217515846082867e-09
4171,exact_score,9-9,,5.377672546067629e-10
4171,exact_score,9-10,,6.171269240311266e-11
4171,exact_score,9-11,,6.438162726644626e-12
4171,exact_score,9-12,,6.156882191862268e-13
4171,exact_score,10-0,,1.1195881003351659e-05
4171,exact_score,10-1,,1.2848085386807862e-05
4171,exact_score,10-2,,7.372054868093385e-06
4171,exact_score,10-3,,2.8199891964179043e-06
4171,exact_score,10-4,,8.090355277670082e-07
4171,exact_score,10-5,,1.85685388020825e-07
4171,exact_score,10-6,,3.551457480448856e-08
4171,exact_score,10-7,,5.8222214481972105e-09
4171,exact_score,10-8,,8.351776680744021e-10
4171,exact_score,10-9,,1.064918824398472e-10
4171,exact_score,10-10,,1.222071579877872e-11
4171,exact_score,10-11,,1.2749234215009856e-12
4171,exact_score,10-12,,1.2192225706476476e-13
4171,exact_score,11-0,,2.0155229091901475e-06
4171,exact_score,11-1,,2.312958705848173e-06
4171,exact_score,11-2,,1.3271439264137261e-06
4171,exact_score,11-3,,5.076646337476685e-07
4171,exact_score,11-4,,1.4564549588147574e-07
4171,exact_score,11-5,,3.3427753773534764e-08
4171,exact_score,11-6,,6.393461944367325e-09
4171,exact_score,11-7,,1.0481373201185967e-09
4171,exact_score,11-8,,1.5035169833834733e-10
4171,exact_score,11-9,,1.917105305389019e-11
4171,exact_score,11-10,,2.2000173681523382e-12
4171,exact_score,11-11,,2.295163161102786e-13
4171,exact_score,11-12,,2.19488847890254e-14
4171,exact_score,12-0,,3.326048999538024e-07
4171,exact_score,12-1,,3.816882435065048e-07
4171,exact_score,12-2,,2.1900746990094874e-07
4171,exact_score,12-3,,8.377565144400815e-08
4171,exact_score,12-4,,2.4034658879588083e-08
4171,exact_score,12-5,,5.5163028159249566e-09
4171,exact_score,12-6,,1.0550595880942775e-09
4171,exact_score,12-7,,1.729653416025764e-10
4171,exact_score,12-8,,2.4811284136583582e-11
4171,exact_score,12-9,,3.1636386537329244e-12
4171,exact_score,12-10,,3.6305047851078684e-13
4171,exact_score,12-11,,3.787515934924193e-14
4171,exact_score,12-12,,3.622041007851729e-15
4172,1x2,home,,0.4055336210604204
4172,1x2,draw,,0.26996552840123933
4172,1x2,away,,0.3245008505383403
4172,btts,yes,,0.5437856998164761
4172,btts,no,,0.45621430018352394
4172,total_goals,over,0.5,0.9331461899458028
4172,total_goals,under,0.5,0.06685381005419722
4172,total_goals,over,1.5,0.7961145776588424
4172,total_goals,under,1.5,0.20388542234115759
4172,total_goals,over,2.5,0.5528247057971288
4172,total_goals,under,2.5,0.44717529420287117
4172,total_goals,over,3.5,0.32920594464797986
4172,total_goals,under,3.5,0.6707940553520202
4172,total_goals,over,4.5,0.1673749727473382
4172,total_goals,under,4.5,0.8326250272526619
4172,exact_score,0-0,,0.06685381005419709
4172,exact_score,0-1,,0.06349448546676147
4172,exact_score,0-2,,0.05089716252953941
4172,exact_score,0-3,,0.02301571395470634
4172,exact_score,0-4,,0.0078057851732514505
4172,exact_score,0-5,,0.0021178672029330786
4172,exact_score,0-6,,0.00047885012949859274
4172,exact_score,0-7,,9.280122387948736e-05
4172,exact_score,0-8,,1.573677920319229e-05
4172,exact_score,0-9,,2.372058943356863e-06
4172,exact_score,0-10,,3.217937547637505e-07
4172,exact_score,0-11,,3.9685975570240015e-08
4172,exact_score,0-12,,4.486502863533863e-09
4172,exact_score,1-0,,0.07353712682019901
4172,exact_score,1-1,,0.12696000065861127
4172,exact_score,1-2,,0.07828821115926275
4172,exact_score,1-3,,0.03540195532553484
4172,exact_score,1-4,,0.012006582047725835
4172,exact_score,1-5,,0.0032576282556866236
4172,exact_score,1-6,,0.0007365502945290689
4172,exact_score,1-7,,0.000142743552878783
4172,exact_score,1-8,,2.420575592030674e-05
4172,exact_score,1-9,,3.6486169800126245e-06
4172,exact_score,1-10,,4.949717463729995e-07
4172,exact_score,1-11,,6.104356080166754e-08
4172,exact_score,1-12,,6.9009796635151355e-09
4172,exact_score,2-0,,0.06543270867356256
4172,exact_score,2-1,,0.08876607837843507
4172,exact_score,2-2,,0.06021007559075786
4172,exact_score,2-3,,0.027227016362333743
4172,exact_score,2-4,,0.009234049443403027
4172,exact_score,2-5,,0.0025053841519314564
4172,exact_score,2-6,,0.0005664677766078086
4172,exact_score,2-7,,0.00010978153647476705
4172,exact_score,2-8,,1.8616217845726907e-05
4172,exact_score,2-9,,2.806086649768734e-06
4172,exact_score,2-10,,3.806739970566008e-07
4172,exact_score,2-11,,4.694752065186973e-08
4172,exact_score,2-12,,5.307421143462514e-09
4172,exact_score,3-0,,0.033548757656744664
4172,exact_score,3-1,,0.045512278370052395
4172,exact_score,3-2,,0.030871001299458103
4172,exact_score,3-3,,0.01395987713443414
4172,exact_score,3-4,,0.004734495839269667
4172,exact_score,3-5,,0.0012845643632075066
4172,exact_score,3-6,,0.0002904402177904771
4172,exact_score,3-7,,5.628735592700793e-05
4172,exact_score,3-8,,9.544935455863239e-06
4172,exact_score,3-9,,1.4387410040837027e-06
4172,exact_score,3-10,,1.9517974927784528e-07
4172,exact_score,3-11,,2.4071004011040868e-08
4172,exact_score,3-12,,2.7212290203759957e-09
4172,exact_score,4-0,,0.01290087744104508
4172,exact_score,4-1,,0.017501343308214342
4172,exact_score,4-2,,0.011871169964667388
4172,exact_score,4-3,,0.005368147036800216
4172,exact_score,4-4,,0.001820608416934224
4172,exact_score,4-5,,0.0004939678418030038
4172,exact_score,4-6,,0.00011168621181154526
4172,exact_score,4-7,,2.1644803891831288e-05
4172,exact_score,4-8,,3.6704203404092856e-06
4172,exact_score,4-9,,5.532551027074609e-07
4172,exact_score,4-10,,7.50546428624957e-08
4172,exact_score,4-11,,9.256291270353856e-09
4172,exact_score,4-12,,1.0464245037052244e-09
4172,exact_score,5-0,,0.003968734471821041
4172,exact_score,5-1,,0.005383989174991965
4172,exact_score,5-2,,0.003651962564168461
4172,exact_score,5-3,,0.001651418695519917
4172,exact_score,5-4,,0.0005600790657064844
4172,exact_score,5-5,,0.00015196076473817063
4172,exact_score,5-6,,3.4358354373117655e-05
4172,exact_score,5-7,,6.658654012789246e-06
4172,exact_score,5-8,,1.1291420911193006e-06
4172,exact_score,5-9,,1.701994773502878e-07
4172,exact_score,5-10,,2.3089278210713212e-08
