feature,contribution
adj_roster_value,0.00465370574966073
opp_rolling_shot_value_5,0.0012458135606721044
xi_xa_sum,0.001202613697387278
opp_rolling_tempo_directness_5,-0.0010266555473208427
doubtful_market_value_m,0.0009117671870626509
rolling_xg_for_5,0.0007677763351239264
rolling_history_count,-0.0004950277507305145
rolling_xg_for_10,0.0003935485437978059
rolling_dribble_success_5,-0.0003627178375609219
interceptions_5,-0.0003526335640344769
rolling_shot_box_share_5,0.00034832622623071074
opp_rolling_tempo_passes_5,-0.00033509329659864306
opp_starter_market_value_m,0.00032118058879859746
xi_xg_sum,0.000265133916400373
rolling_long_ball_accuracy_5,-0.00018848733452614397
rolling_clearances_5,-0.00014237023424357176
rolling_xg_for_3,-0.0001214387157233432
blocks_5,-0.00011854531476274133
missing_market_value_m,0.00011398077185731381
starter_market_value_m,0.00011307193199172616
rolling_tempo_directness_5,-0.00010421612387290224
xi_def_actions,0.00010289302736055106
rest_days,-0.0001000869888230227
opp_rolling_progression_5,-7.714560342719778e-05
opp_rolling_tempo_pass_accuracy_5,-6.472060340456665e-05
