feature,contribution
adj_roster_value,1.532732367515564
is_home,1.3775739669799805
xi_key_pass_sum,0.7783330082893372
starter_market_value_m,0.2644285559654236
opp_rolling_tempo_passes_5,0.17507675290107727
rolling_tempo_passes_5,-0.16077880561351776
opp_rolling_shots_against_5,-0.1410362273454666
rolling_tempo_shots_5,0.122805655002594
rolling_history_count,0.08032181113958359
possession_proxy_5,-0.07755578309297562
passes_per90_5,-0.07212649285793304
opp_rolling_tempo_shots_5,-0.07121437042951584
xi_goalkeeper_strength,0.07041819393634796
rolling_long_ball_accuracy_5,-0.06945119798183441
opp_rolling_history_count,-0.05473647639155388
rolling_shot_value_5,-0.04269862547516823
opp_missing_player_count,-0.04083133116364479
rolling_opp_half_pass_accuracy_5,0.03883654996752739
rolling_shots_against_5,0.03728288412094116
missing_market_value_m,0.03697092831134796
rolling_box_pressure_index_5,0.03637566789984703
tackles_won_5,-0.03600850701332092
rolling_clearances_5,-0.03564523160457611
xi_xa_sum,0.03547409921884537
rolling_xg_for_10,0.032089948654174805
