feature,contribution
adj_roster_value,-0.30691075325012207
opp_starter_market_value_m,-0.12090717256069183
is_home,-0.08522441983222961
rolling_xg_for_10,0.040100935846567154
opp_rolling_shots_against_5,-0.03295791521668434
starter_market_value_m,-0.021879862993955612
xi_key_pass_sum,-0.02137107215821743
rolling_clearances_5,-0.019582243636250496
xi_xa_sum,-0.017839623615145683
opp_rolling_cross_accuracy_5,0.014430871233344078
interceptions_5,0.014267037622630596
opp_missing_player_count,-0.012887704186141491
opp_rolling_tempo_directness_5,-0.011194721795618534
opp_rolling_xg_against_5,-0.010907243005931377
rolling_big_chances_5,-0.010782907716929913
opp_missing_market_value_m,-0.009773320518434048
doubtful_market_value_m,0.008257152512669563
opp_rolling_xgot_for_5,0.008165465667843819
opp_rolling_tempo_passes_5,-0.00810360535979271
opp_rolling_shot_box_share_5,-0.008030073717236519
xi_xg_sum,0.007201643195003271
rolling_xgot_for_5,0.0071630934253335
blocks_5,-0.006944591179490089
opp_rolling_dribble_success_5,0.006326299626380205
passes_per90_5,-0.00521283270791173
