feature,contribution
is_home,-1.0869166851043701
adj_roster_value,-0.9531562328338623
opp_rolling_tempo_passes_5,0.27965837717056274
opp_starter_market_value_m,-0.24893617630004883
xi_key_pass_sum,-0.23355887830257416
rolling_tempo_passes_5,-0.09958233684301376
opp_rolling_shots_against_5,-0.09487845003604889
opp_rolling_box_pressure_index_5,-0.07505210489034653
rolling_shots_5,0.07260727882385254
shot_accuracy_5,-0.07112356275320053
possession_proxy_5,-0.07091137021780014
rolling_opp_half_pass_accuracy_5,0.0581209659576416
rolling_shot_value_5,-0.05334671586751938
passes_per90_5,-0.04682110995054245
opp_rolling_dribble_success_5,0.044681649655103683
rolling_xg_for_10,0.04050992801785469
tackles_won_5,0.04011689871549606
rolling_history_count,0.037450507283210754
opp_rolling_tempo_pass_accuracy_5,0.03327195346355438
rolling_clearances_5,-0.03311694785952568
rolling_tempo_shots_5,0.03215799480676651
missing_player_count,0.030713297426700592
opp_missing_player_count,-0.03031942993402481
opp_rolling_history_count,-0.030133239924907684
opp_rolling_tempo_directness_5,-0.029712190851569176
