feature,contribution
adj_roster_value,-1.0643993616104126
is_home,-1.023556113243103
xi_key_pass_sum,-0.36418086290359497
xi_goalkeeper_strength,-0.34494549036026
opp_rolling_tempo_passes_5,-0.33519819378852844
rolling_shots_against_5,-0.1570148915052414
rolling_tempo_passes_5,0.13163620233535767
opp_rolling_shots_5,0.12966299057006836
passes_per90_5,0.08484549075365067
rolling_opp_half_pass_accuracy_5,0.06746617704629898
opp_rolling_box_pressure_index_5,0.057897523045539856
starter_market_value_m,-0.056100811809301376
rolling_clearances_5,0.043253280222415924
formation_code,0.039300281554460526
opp_rolling_shots_against_5,-0.035667769610881805
opp_shot_accuracy_5,-0.03543870151042938
rolling_history_count,-0.03175470232963562
opp_rolling_tempo_shots_5,0.027427317574620247
opp_starter_market_value_m,-0.027364566922187805
opp_rolling_tempo_pass_accuracy_5,0.023731842637062073
xi_def_actions,-0.02072596177458763
starter_forward_count,0.016437401995062828
rolling_fouls_won_5,0.014744613319635391
possession_proxy_5,0.013492399826645851
match_tempo_index,0.01123457308858633
