feature,gain
is_home,0.00798624474555254
rest_days,0.014561014249920845
matches_last_7_days,0.012051820755004883
matches_last_14_days,0.013182803988456726
rolling_xg_for_3,0.01591707579791546
rolling_xg_for_5,0.018564514815807343
rolling_xg_for_10,0.019341103732585907
rolling_xg_against_5,0.01957305520772934
rolling_shots_5,0.020372431725263596
rolling_shots_against_5,0.021598925814032555
rolling_big_chances_5,0.02387833595275879
shot_accuracy_5,0.019562527537345886
tackles_won_5,0.02136237919330597
interceptions_5,0.023089531809091568
blocks_5,0.02657531388103962
possession_proxy_5,0.01929059810936451
passes_per90_5,0.02306569181382656
opp_rolling_xg_for_5,0.026147441938519478
opp_rolling_xg_against_5,0.0210964847356081
opp_shot_accuracy_5,0.020085223019123077
opp_rolling_shots_5,0.01374694611877203
opp_rolling_shots_against_5,0.01789862848818302
adj_attack_xg_5,0.019373923540115356
adj_defence_xg_5,0.019311584532260895
xi_xg_sum,0.024445494636893272
xi_xa_sum,0.021344730630517006
xi_key_pass_sum,0.018492696806788445
xi_progressive_carries,0.02644314058125019
xi_def_actions,0.018550831824541092
xi_goalkeeper_strength,0.01739676482975483
