feature,gain
is_home,15.562294960021973
rest_days,5.451103210449219
matches_last_7_days,6.085503578186035
matches_last_14_days,3.751490592956543
rolling_xg_for_3,6.927048683166504
rolling_xg_for_5,7.2359466552734375
rolling_xg_for_10,15.6300048828125
rolling_xg_against_5,7.723352909088135
rolling_shots_5,12.760011672973633
rolling_shots_against_5,4.464727401733398
rolling_big_chances_5,6.352466106414795
shot_accuracy_5,6.392215728759766
tackles_won_5,5.261653900146484
interceptions_5,6.768195152282715
blocks_5,8.918265342712402
possession_proxy_5,12.845191955566406
passes_per90_5,17.775737762451172
opp_rolling_xg_for_5,9.704843521118164
opp_rolling_xg_against_5,12.036600112915039
opp_shot_accuracy_5,9.85933780670166
opp_rolling_shots_5,10.555071830749512
opp_rolling_shots_against_5,11.405189514160156
adj_attack_xg_5,7.905049800872803
adj_defence_xg_5,5.499059200286865
xi_xg_sum,5.788747310638428
xi_xa_sum,32.162315368652344
xi_key_pass_sum,8.195778846740723
xi_progressive_carries,6.7203569412231445
xi_def_actions,7.148616313934326
xi_goalkeeper_strength,6.806732177734375
